treatment,biological_rep,villis_height,villis_width1,villis_width2,villis_width3,crypt_depth,goblet_count
8,3,230.69,32.61,45.97,49.38,26.58,43
8,3,199.9,22.31,44.29,52.49,12.1,73
8,3,263.06,28.87,42.27,43.9,28.78,81
8,3,200.04,31.54,37.56,41.17,14.84,73
8,3,200.69,35.1,42.29,42.79,17.45,55
8,3,225.59,45.39,58.47,33.68,36.97,60
8,4,216.37,61.53,69.62,82.76,35.44,62
8,4,234.36,40.71,33.19,34.82,17.67,47
8,4,216.49,35.63,49.6,57.1,26.96,54
8,4,215.81,39.82,29.07,22.52,15.85,71
8,4,225.06,60.08,58.72,41.02,31.06,53
8,4,212.03,70.21,48.53,38.52,36.07,74
8,4,245.67,44.03,41.17,39.8,10.9,48
8,4,248.09,43.03,59.19,48.05,12.33,59
8,4,239.98,45.25,42.91,34.32,25.14,98
8,4,228.97,71.43,66.79,53.94,11.09,52
8,5,246.52,38.84,50.41,45.43,31.38,53
8,5,212.96,43.37,38.79,34.73,50.74,77
8,5,215.97,59.56,59,39.41,39.84,61
8,5,253.31,54.06,73.85,61.67,27.92,57
8,5,250.04,51.44,42.92,42.73,20.48,56
8,5,226.94,52.32,41.18,40.63,25.06,54
8,5,247.91,59.96,60.24,50.66,27.13,52
8,5,285.83,48.11,47.87,28.61,39.23,46
8,5,258.57,53.55,57.64,41.14,32.64,55
8,5,293.48,53.24,51.73,48.01,23.14,51
8,6,261.27,36.14,48.39,42.59,19.71,54
8,6,249.68,40.51,45.55,41.67,16.39,68
8,6,237.47,37.14,44.36,41.56,15.31,91
8,6,253.21,30.36,39.91,37.7,11.49,55
8,6,274.59,31,52.28,47.61,31,49
8,6,235.8,39,51.32,29.56,13.53,71
8,6,263.14,27.32,32.44,44.9,26.42,66
8,6,262.18,31.74,25.86,26.98,13.61,57
8,6,253.26,36.28,52.89,32.11,25.84,49
8,6,220.54,42.34,35.82,21.2,19.71,61
8,7,239.22,42.56,43.58,31.79,28.57,58
8,7,221.2,32.22,38.46,30.31,24.12,54
8,7,216.8,43.51,34.17,46.08,25.62,53
8,7,214.7,43.74,41.28,39.2,38.28,49
8,7,247.72,38.01,57.2,40.1,30.44,47
8,7,222.95,59.88,63.29,42.15,17.19,62
8,7,288.91,37.28,56.97,30.93,18.35,64
8,7,205.16,39.38,31.37,33.61,20.69,68
8,7,195.31,32.26,37.36,45.88,11.46,79
8,7,202.72,27.83,28.88,33.92,16.34,88
9,1,247.05,48.81,46.78,54.06,25.22,76
9,1,254.05,46.42,54.24,51.75,40.77,63
9,1,258.55,38.04,31.05,43.2,22.58,103
9,1,267.6,45.57,41.55,51.32,44.74,80
9,1,270.54,42.37,39.81,28.19,39.36,88
9,1,278.89,46.42,58.46,43.16,29.45,77
9,1,278.78,39.11,38.16,53.08,26.61,82
9,1,269.7,43.54,33.68,40.67,27.97,71
9,1,255.57,43.9,47.42,65.03,28.47,74
9,1,250.63,33.07,61.48,46.76,36.07,65
9,2,302.37,50.92,50.69,32.79,21.45,72
9,2,285.46,44.32,54.17,45.95,19.56,84
9,2,315.47,38.75,36.62,43.3,30.82,88
9,2,323.56,41.11,38.16,46.95,24.15,95
9,2,262.41,39.91,35.63,47.02,27.66,91
9,2,350.21,61.39,49.23,28.25,19.06,76
9,2,304.99,51.9,58.39,40.51,26.57,67
9,2,272.13,28.76,42.42,52.84,34.33,59
9,2,252.43,51.75,42.75,47.49,26.18,84
9,2,227.15,38.92,40.54,39.96,28.98,68
9,3,294.98,38.84,54.69,48.55,26.42,72
9,3,261.08,44.5,49.85,53.02,23.5,74
9,3,305.55,53.51,39.2,47.61,25.56,97
9,3,297.4,51.96,46.05,35.32,24.77,92
9,3,263.53,32.12,29.51,26.91,37.91,68
9,3,248.21,52.2,48.65,52.8,28.74,79
